,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
0,Padang,100,ID,1566686885,78,-0.92,100.36,80.26,10.18
1,Kayerkan,75,RU,1566686885,93,69.35,87.76,53.6,6.71
2,Alofi,80,NU,1566686886,78,-19.06,-169.92,80.6,8.05
3,Severo-Kurilsk,100,RU,1566686886,92,50.68,156.12,48.4,37.27
4,Yumen,100,CN,1566686887,20,40.29,97.04,74.32,26.42
5,Saint Anthony,1,US,1566686887,17,43.97,-111.68,86.0,12.75
6,Vestmannaeyjar,58,IS,1566686888,90,63.44,-20.27,50.74,9.6
7,Albany,75,US,1566686771,53,42.65,-73.75,73.99,6.93
8,Niny,100,RU,1566686888,70,44.49,43.95,71.26,6.2
9,Dangriga,20,BZ,1566686888,75,16.97,-88.23,89.6,9.17
10,Provideniya,63,RU,1566686889,48,64.42,-173.23,55.42,5.37
11,Yerofey Pavlovich,0,RU,1566686889,71,53.97,121.97,64.06,2.19
12,Mataura,75,NZ,1566686889,93,-46.19,168.86,48.99,5.01
13,Ternate,40,PH,1566686640,94,14.29,120.72,77.0,2.24
14,Mar del Plata,100,AR,1566686890,59,-46.43,-67.52,50.38,11.61
15,Hermanus,0,ZA,1566686890,81,-34.42,19.24,55.0,3.0
16,Nizwa,64,OM,1566686890,48,22.93,57.53,80.98,0.96
17,Barrow,33,AR,1566686891,76,-38.31,-60.23,53.26,11.12
18,Bereda,20,ES,1566686891,82,43.27,-7.54,66.99,3.36
19,Puerto Ayora,20,EC,1566686892,65,-0.74,-90.35,78.8,16.11
20,Nikolskoye,20,RU,1566686892,87,59.7,30.79,55.0,4.47
21,East London,0,ZA,1566686892,43,-33.02,27.91,61.18,6.6
22,Roald,100,NO,1566686892,60,62.58,6.12,68.0,11.41
23,Cherskiy,75,RU,1566686893,33,68.75,161.3,67.48,3.71
24,Rikitea,87,PF,1566686893,69,-23.12,-134.97,70.0,22.48
25,Malaya Vishera,0,RU,1566686894,97,58.85,32.22,49.48,4.03
26,Punta Arenas,75,CL,1566686889,75,-53.16,-70.91,42.8,6.93
27,Dingle,100,PH,1566686894,76,11.0,122.67,80.44,2.57
28,Mayo,75,CA,1566686895,38,63.59,-135.9,60.8,6.93
29,Castro,75,CL,1566686895,76,-42.48,-73.76,50.0,9.17
30,Ushuaia,75,AR,1566686607,65,-54.81,-68.31,44.6,13.87
31,Tessalit,77,ML,1566686895,48,20.2,1.01,85.48,3.83
32,Ola,92,RU,1566686896,91,59.58,151.3,53.26,7.45
33,Port Augusta,90,AU,1566686896,71,-32.49,137.76,50.0,5.82
34,Balkhash,0,KZ,1566686897,45,46.84,74.98,65.5,10.63
35,Kanniyakumari,93,IN,1566686897,85,8.08,77.57,79.0,15.26
36,Bluff,0,AU,1566686897,54,-23.58,149.07,67.3,5.08
37,Hilo,90,US,1566686898,69,19.71,-155.08,82.4,10.29
38,Iqaluit,90,CA,1566686898,76,63.75,-68.52,53.6,17.22
39,Saint George,0,GR,1566686771,60,39.45,22.34,75.2,1.28
40,Tiznit,48,MA,1566686899,58,29.7,-9.73,75.58,12.48
41,Turukhansk,100,RU,1566686899,81,65.8,87.96,56.5,13.0
42,Soyo,15,AO,1566686900,88,-6.13,12.37,71.62,12.28
43,Carnarvon,0,ZA,1566686900,24,-30.97,22.13,56.14,7.65
44,Yellowknife,75,CA,1566686900,63,62.45,-114.38,62.6,3.6
45,Kodiak,90,US,1566686901,64,39.95,-94.76,73.99,13.87
46,Muncar,4,ID,1566686901,72,-8.43,114.34,74.5,2.35
47,Tangzhai,0,CN,1566686901,82,26.73,109.0,75.22,2.37
48,Quatre Cocos,75,MU,1566686902,94,-20.21,57.76,68.0,10.29
49,Busselton,54,AU,1566686902,68,-33.64,115.35,43.0,11.39
50,Khatanga,33,RU,1566686903,88,71.98,102.47,53.08,7.7
51,Trairi,0,BR,1566686903,85,-3.28,-39.27,71.26,5.46
52,Falam,100,MM,1566686903,99,22.91,93.68,62.62,2.75
53,Thompson,90,CA,1566686904,94,55.74,-97.86,68.0,5.82
54,Norman Wells,75,CA,1566686904,71,65.28,-126.83,51.8,10.29
55,Gamba,60,CN,1566686904,76,28.28,88.52,39.22,3.15
56,Port Alfred,0,ZA,1566686905,73,-33.59,26.89,63.0,4.0
57,Hobart,40,AU,1566686905,92,-42.88,147.33,48.0,3.36
58,Stutterheim,0,ZA,1566686905,19,-32.57,27.43,58.12,8.52
59,Poum,78,MK,1566686905,79,41.28,20.71,60.1,3.09
60,Vardo,90,US,1566686907,46,39.62,-77.74,75.2,3.36
61,Zabid,56,YE,1566686907,58,14.2,44.5,70.36,2.59
62,Kapaa,1,US,1566686907,62,22.08,-159.32,89.6,14.99
63,Goya,33,AR,1566686908,77,-29.14,-59.27,59.56,9.15
64,Hithadhoo,100,MV,1566686908,70,-0.6,73.08,82.6,8.34
65,Los Lunas,1,US,1566686637,9,34.81,-106.76,97.0,10.29
66,Karratha,2,AU,1566686909,31,-20.74,116.85,72.52,4.72
67,Avarua,57,CK,1566686909,74,-21.21,-159.78,78.8,11.41
68,Ormara,63,PK,1566686909,80,25.21,64.64,79.54,5.97
69,Paamiut,0,GL,1566686910,77,61.99,-49.67,41.56,17.43
70,Sitka,54,US,1566686910,56,37.17,-99.65,87.01,18.99
71,Kahului,40,US,1566686910,55,20.89,-156.47,89.6,18.34
72,Babu,19,CN,1566686910,88,23.23,104.89,65.14,3.15
73,Atuona,6,PF,1566686911,71,-9.8,-139.03,79.36,13.33
74,Baykit,87,RU,1566686911,70,61.68,96.39,54.88,2.82
75,Fare,67,PF,1566686911,68,-16.7,-151.02,78.1,6.44
76,Torbay,75,CA,1566686912,76,47.66,-52.73,53.01,16.11
77,Gazojak,0,TM,1566686912,25,41.19,61.4,66.04,10.42
78,Sabirabad,0,AZ,1566686912,94,40.01,48.48,77.0,6.93
79,Fortuna,20,US,1566686723,60,40.6,-124.16,69.8,12.75
80,Airai,0,TL,1566686913,46,-8.93,125.41,78.64,0.83
81,Cabo San Lucas,75,MX,1566686755,74,22.89,-109.91,91.99,8.05
82,Aklavik,90,CA,1566686913,66,68.22,-135.01,48.2,10.29
83,Saint-Leu,0,RE,1566686914,83,-21.15,55.28,71.6,18.34
84,Qaanaaq,96,GL,1566686914,89,77.48,-69.36,34.72,14.18
85,Xining,84,CN,1566686914,79,36.62,101.77,52.54,1.99
86,Cayenne,0,GF,1566686914,78,4.94,-52.33,82.4,3.36
87,Pacific Grove,1,US,1566686915,57,36.62,-121.92,87.01,18.34
88,Hovd,75,NO,1566686915,68,63.83,10.7,64.4,8.05
89,Ixtapa,75,MX,1566686915,63,20.71,-105.21,93.2,4.7
90,Biskamzha,88,RU,1566686916,99,53.45,89.53,44.62,3.65
91,Tilichiki,75,RU,1566686916,78,60.47,166.1,58.3,5.75
92,Ahipara,67,NZ,1566686916,100,-35.17,173.16,57.99,20.56
93,Santa Rosa,27,AR,1566686917,61,-36.62,-64.29,58.3,11.07
94,Talisay,75,PH,1566686917,88,10.25,123.85,77.0,2.24
95,Constitucion,75,MX,1566686917,31,23.99,-104.67,78.8,5.84
96,Muroran,20,JP,1566686917,82,42.32,140.98,64.4,2.24
97,Zhigansk,64,RU,1566686918,64,66.77,123.37,58.12,4.74
98,Challans,0,FR,1566686918,82,46.85,-1.88,68.0,2.24
99,Sorland,75,NO,1566686918,87,67.67,12.69,53.6,11.41
100,Ancud,75,CL,1566686919,76,-41.87,-73.83,50.0,9.17
101,Otjimbingwe,0,NA,1566686919,26,-22.35,16.13,56.14,5.57
102,Bassar,92,TG,1566686919,95,9.26,0.78,71.44,3.83
103,Victoria,75,BN,1566686920,88,5.28,115.24,80.6,2.24
104,Vaini,82,IN,1566686920,92,15.34,74.49,74.68,1.54
105,Bredasdorp,0,ZA,1566686920,87,-34.53,20.04,53.6,2.24
106,Pringsewu,71,ID,1566686920,94,-5.36,104.98,70.18,0.2
107,Pelym,90,RU,1566686921,96,61.01,62.0,46.78,2.71
108,Arraial do Cabo,75,BR,1566686921,82,-22.97,-42.02,68.0,10.29
109,Yeniseysk,14,RU,1566686921,91,58.45,92.17,52.72,2.46
110,Banda Aceh,100,ID,1566686922,81,5.56,95.32,79.0,22.86
111,Georgetown,20,GY,1566686922,74,6.8,-58.16,84.2,9.17
112,Butaritari,100,KI,1566686922,71,3.07,172.79,84.4,6.53
113,Tome,75,JP,1566686922,78,38.69,141.2,71.6,2.24
114,Kjollefjord,78,NO,1566686923,62,70.95,27.35,44.08,5.86
115,Inuvik,90,CA,1566686923,57,68.36,-133.71,48.2,13.87
116,Golden,40,US,1566686674,23,39.76,-105.22,88.0,4.7
117,Saldanha,95,PT,1566686924,40,41.42,-6.55,70.36,2.55
118,Allapalli,100,IN,1566686924,96,19.43,80.06,73.6,2.73
119,Tuktoyaktuk,90,CA,1566686925,75,69.44,-133.03,44.6,23.04
120,Saint-Francois,0,FR,1566686925,77,46.42,3.91,64.4,2.93
121,Ponta Delgada,75,PT,1566686925,94,37.73,-25.67,71.01,18.34
122,Znamenskoye,13,RU,1566686926,98,57.13,73.82,48.4,5.7
123,Saurimo,14,AO,1566686926,28,-9.66,20.4,62.44,4.52
124,Kutum,13,SD,1566686927,65,14.2,24.66,73.78,2.01
125,Invermere,66,CA,1566686927,37,50.51,-116.03,73.99,3.0
126,Marawi,100,PH,1566686927,88,8.0,124.29,75.99,5.01
127,Salalah,75,OM,1566686927,94,17.01,54.1,78.8,6.93
128,Jamestown,32,AU,1566686928,65,-33.21,138.6,46.96,7.87
129,Dikson,100,RU,1566686928,97,73.51,80.55,40.66,13.0
130,Dengzhou,63,CN,1566686928,71,32.69,112.08,79.18,7.74
131,Baley,0,RU,1566686929,73,51.58,116.65,62.08,2.53
132,Bambous Virieux,75,MU,1566686929,94,-20.34,57.76,68.0,10.29
133,Haines Junction,100,CA,1566686929,90,60.75,-137.51,41.56,3.18
134,Souillac,0,FR,1566686930,64,45.6,-0.6,75.2,4.7
135,Chokurdakh,100,RU,1566686930,88,70.62,147.9,55.96,10.94
136,Guerrero Negro,40,MX,1566686930,74,27.97,-114.04,76.66,8.28
137,Civita Castellana,0,IT,1566686931,60,42.3,12.41,75.99,4.7
138,Mahina,100,ML,1566686931,97,13.76,-10.85,73.06,9.37
139,Fort Nelson,75,CA,1566686931,43,58.81,-122.69,69.8,5.82
140,Talnakh,75,RU,1566686727,93,69.49,88.39,53.6,6.71
141,Nouadhibou,28,MR,1566686932,88,20.93,-17.03,69.1,9.24
142,Polunochnoye,80,RU,1566686932,95,60.87,60.43,44.8,1.77
143,Mandalgovi,34,MN,1566686932,59,45.76,106.27,59.56,18.1
144,Margate,40,AU,1566686691,92,-43.03,147.26,48.99,3.36
145,Tautira,40,PF,1566686933,58,-17.73,-149.15,84.2,12.75
146,Balkanabat,0,TM,1566686933,13,39.51,54.36,80.08,3.71
147,Koutiala,99,ML,1566686934,94,12.39,-5.46,69.1,7.96
148,Bad Gandersheim,0,DE,1566686934,64,51.87,10.03,71.01,5.82
149,Los Llanos de Aridane,0,ES,1566686934,83,28.66,-17.92,75.2,16.11
150,Cidreira,0,BR,1566686935,74,-30.17,-50.22,57.04,10.63
151,Tete,89,MZ,1566686935,77,-16.16,33.59,68.02,7.49
152,Beringovskiy,49,RU,1566686935,62,63.05,179.32,61.54,7.4
153,Vila Velha,20,BR,1566686936,74,-3.71,-38.6,80.6,11.41
154,Tabou,100,CI,1566686936,89,4.42,-7.36,74.14,6.33
155,Hazorasp,0,UZ,1566686936,48,41.32,61.08,64.4,4.7
156,Mahajanga,0,MG,1566686937,68,-15.72,46.32,69.8,3.36
157,Codrington,0,AU,1566686937,93,-28.95,153.24,62.01,8.05
158,Chuy,97,UY,1566686937,80,-33.69,-53.46,52.72,10.4
159,Ribeira Grande,53,PT,1566686938,79,38.52,-28.7,69.1,17.25
160,Geraldton,75,CA,1566686938,49,49.72,-86.95,68.0,10.29
161,Fallon,1,US,1566686938,42,46.84,-105.12,84.2,5.82
162,Ponta do Sol,0,BR,1566686939,56,-20.63,-46.0,61.72,5.08
163,Xichang,1,CN,1566686939,92,27.88,102.25,57.4,2.39
164,Saint-Philippe,1,CA,1566686939,60,45.36,-73.48,73.99,3.36
165,Saskylakh,54,RU,1566686939,75,71.97,114.09,52.9,7.78
166,Lasa,20,CY,1566686940,88,34.92,32.53,80.6,5.82
167,Rawson,25,AR,1566686940,43,-43.3,-65.11,57.58,22.82
168,Eyl,0,SO,1566686940,68,7.98,49.82,75.94,27.07
169,Itaituba,89,BR,1566686941,69,-4.26,-55.99,76.66,2.26
170,Alamosa,1,US,1566686941,19,37.47,-105.87,82.4,10.29
171,Constantine,20,DZ,1566686941,82,36.36,6.61,68.0,2.24
172,Cape Town,20,ZA,1566686876,87,-33.93,18.42,61.0,13.87
173,Maniitsoq,0,GL,1566686942,77,65.42,-52.9,43.18,8.55
174,Blackfoot,1,US,1566686942,13,43.19,-112.35,89.6,20.8
175,Akdepe,0,TM,1566686943,48,42.05,59.39,66.2,6.93
176,San Quintin,100,PH,1566686943,86,17.54,120.52,77.38,3.44
177,Karema,54,TZ,1566686943,70,-6.82,30.44,75.94,4.16
178,Bilibino,82,RU,1566686944,44,68.06,166.44,62.44,6.62
179,Northam,4,AU,1566686706,76,-31.65,116.67,48.2,5.82
